Date,Open,High,Low,Close,Adj Close,Volume
2018-04-13,82.029999,83.080002,81.889999,82.260002,82.260002,527700
2018-04-16,82.279999,82.389999,80.050003,80.760002,80.760002,415400
2018-04-17,80.790001,81.610001,80.660004,81.300003,81.300003,267700
2018-04-18,82.639999,83.300003,81.839996,82.059998,82.059998,516000
2018-04-19,82.570000,82.570000,80.849998,81.419998,81.419998,436900
2018-04-20,81.199997,81.199997,80.000000,80.580002,80.580002,409600
2018-04-23,79.480003,80.099998,79.279999,79.550003,79.550003,290400
2018-04-24,80.040001,80.349998,79.699997,80.040001,80.040001,285600
2018-04-25,79.580002,80.330002,79.440002,79.900002,79.900002,325100
2018-04-26,80.480003,80.660004,79.769997,80.040001,80.040001,318500
2018-04-27,80.709999,81.680000,80.620003,81.470001,81.470001,333900
2018-04-30,80.870003,81.720001,80.550003,81.099998,81.099998,330700
2018-05-01,79.779999,81.580002,79.739998,81.389999,81.389999,373900
2018-05-02,80.769997,82.919998,80.540001,81.389999,81.389999,545000
2018-05-03,82.900002,82.949997,82.220001,82.629997,82.629997,393900
2018-05-04,82.110001,82.379997,81.370003,81.610001,81.610001,316200
2018-05-07,81.599998,82.180000,81.160004,81.320000,81.320000,228700
2018-05-08,81.279999,82.620003,80.919998,82.489998,82.489998,389300
2018-05-09,82.260002,82.980003,82.110001,82.330002,82.330002,458200
2018-05-10,76.099998,78.730003,76.010002,78.610001,78.610001,2159300
2018-05-11,78.989998,80.129997,78.669998,79.709999,79.709999,807100
2018-05-14,80.059998,80.550003,79.099998,79.910004,79.910004,1020200
2018-05-15,78.099998,78.650002,77.820000,78.089996,78.089996,562300
2018-05-16,78.000000,78.320000,77.540001,78.150002,78.150002,536400
2018-05-17,78.529999,78.529999,77.779999,78.080002,78.080002,430100
2018-05-18,77.820000,78.470001,77.730003,77.949997,77.949997,500500
2018-05-21,77.489998,77.550003,76.620003,76.720001,76.720001,562100
2018-05-22,77.980003,78.120003,76.750000,76.820000,76.820000,640600
2018-05-23,76.199997,78.199997,76.160004,77.680000,77.680000,633000
2018-05-24,77.160004,78.010002,77.050003,77.900002,77.900002,455800
2018-05-25,77.120003,77.300003,76.410004,77.040001,77.040001,486500
2018-05-29,76.769997,77.779999,76.440002,76.910004,76.910004,540000
2018-05-30,78.000000,78.930000,77.769997,78.489998,78.489998,466900
2018-05-31,79.250000,80.150002,79.070000,79.519997,79.519997,595000
2018-06-01,78.699997,79.680000,78.660004,79.029999,79.029999,438400
2018-06-04,80.529999,80.610001,79.339996,79.470001,79.470001,278700
2018-06-05,80.220001,80.599998,79.779999,80.199997,80.199997,297200
2018-06-06,80.470001,80.699997,79.620003,80.190002,80.190002,304600
2018-06-07,80.419998,80.550003,78.900002,79.449997,79.449997,468200
2018-06-08,78.690002,78.900002,78.059998,78.510002,78.510002,565000
2018-06-11,78.089996,78.720001,77.820000,78.599998,78.599998,390600
2018-06-12,78.019997,78.870003,77.949997,78.709999,78.709999,340000
2018-06-13,78.309998,79.110001,77.970001,78.599998,78.599998,473800
2018-06-14,78.419998,79.449997,78.300003,79.309998,79.309998,444200
2018-06-15,77.470001,77.589996,76.000000,76.839996,76.839996,1455600
2018-06-18,74.459999,75.459999,74.349998,75.190002,75.190002,762300
2018-06-19,74.269997,75.360001,74.120003,74.680000,74.680000,497100
2018-06-20,75.750000,75.750000,74.529999,74.639999,74.639999,309700
2018-06-21,74.080002,74.690002,74.019997,74.669998,74.669998,363000
2018-06-22,75.610001,76.320000,75.459999,75.830002,75.830002,374700
2018-06-25,75.279999,75.660004,74.930000,75.199997,75.199997,325600
2018-06-26,74.930000,76.089996,74.930000,75.559998,75.559998,271000
2018-06-27,74.849998,75.190002,74.559998,74.790001,74.790001,253000
2018-06-28,74.720001,75.620003,74.669998,75.209999,75.209999,274300
2018-06-29,76.209999,77.339996,76.019997,77.089996,77.089996,554600
2018-07-02,75.900002,76.169998,75.239998,75.849998,75.849998,380000
2018-07-03,76.720001,77.570000,76.589996,76.750000,76.750000,257600
2018-07-05,76.870003,77.209999,76.529999,77.080002,77.080002,327600
2018-07-06,75.919998,76.230003,75.699997,76.050003,76.050003,446100
2018-07-09,76.639999,76.849998,75.919998,76.019997,76.019997,299800
2018-07-10,75.709999,75.980003,75.500000,75.849998,75.849998,313800
2018-07-11,74.000000,74.320000,72.750000,72.940002,72.940002,852700
2018-07-12,73.330002,73.980003,72.959999,73.129997,73.129997,357000
2018-07-13,72.349998,72.680000,71.910004,72.080002,72.080002,424500
2018-07-16,72.339996,72.779999,72.000000,72.430000,72.430000,247500
2018-07-17,72.139999,72.870003,72.000000,72.559998,72.559998,407200
